Year Created,Source,Creator,Thumbnail,Graph Type,Title,Notes,Brief Creator,Brief Title,Source URL,Page #,Historical period,Folder Link,Priority,Status,Website,ID,Domain,Teacher,Slow Reveal Order,Notes
1903,Federal Reserve of St. Louis,U.S. Census Office & Henry Gannett,,Stacked Bar,"Total and Urban Population at Each Census, 1790-1900",,Census_Gannett,Total_Urban_Population_1700_1900,https://fraser.stlouisfed.org/title/statistical-atlas-5588/population-574188,p. 17,THE DEVELOPMENT OF THE INDUSTRIAL UNITED STATES (1870-1900),https://drive.google.com/drive/folders/1XT4SY623hBJEtdhesbu6D_jYAjji3gCU,High,Recreation Complete,On site-ours; on site-not ours; not onsite-ours; not recreated,83,stlouisfed,,,
1903,Federal Reserve of St. Louis,U.S. Census Office & Henry Gannett,,Bar,"Density of Population at Each Census, 1790-1900",Need to check units in full report,Census_Gannett,Density_Population_1700_1900,https://fraser.stlouisfed.org/title/statistical-atlas-5588/population-574188,p. 17,THE DEVELOPMENT OF THE INDUSTRIAL UNITED STATES (1870-1900),https://drive.google.com/drive/folders/1Wl7hexmZeRG4Dnt2h9SHqW8lK7pLVnQE,Medium,Recreation Complete,,84,stlouisfed,,,
1903,Federal Reserve of St. Louis,U.S. Census Office & Henry Gannett,,Bar,"Proportion of Urban to Total Population at Each Census, 1790-1900",Will need to add years,Census_Gannett,Proportion_Urban_Total_Population_1700_1900,https://fraser.stlouisfed.org/title/statistical-atlas-5588/population-574188,p. 17,THE DEVELOPMENT OF THE INDUSTRIAL UNITED STATES (1870-1900),,,Claimed and In Progress,,,stlouisfed,,,
1979,"Annual Consumption of Alcohol contained in all Alcoholic Beverages 
per Capita, in U.S. Gallons",W.J Rorabaugh,,Line,,,,,https://archive.org/details/alcoholicrepubli0000rora/page/8/mode/2up,The Alcoholic republic pg 9,,https://drive.google.com/drive/folders/1BtlCTxfRpGqTq-1BIe-q04aQs_-hoa1R,,Recreation Complete,,85,#N/A,,,
1979,Net Imports per Capita,W.J Rorabaugh,,Line,,,,,"The alcoholic republic, an American tradition : Rorabaugh, W. J : Free Download, Borrow, and Streaming : Internet Archive",The Alcoholic republic pg 101,,,,,,88,#N/A,,,Tabled for now.
1900 c.a.,A series of statistical charts illustrating the condition of the descendants of former African slaves now in residence in the United States of America,Du Bois,,Map,Distribution of Negroes in the United States.,,,,https://www.loc.gov/item/2013650365/,,,,,,"The original picture is on the site, but the recreated version is not. ",,loc,,,
1900 c.a.,A series of statistical charts illustrating the condition of the descendants of former African slaves now in residence in the United States of America,Du Bois,,Graph,Comparative rate of increase of the white and Negro elements of the population of the United States,,,,https://www.loc.gov/resource/ppmsca.33902/,,,,,,"The original picture is on the site, but the recreated version is not. ",,loc,,,
1848,Library of Congress Geography and Map Division Washington,"Pleasonton, Stephen and Filmore, Millard",,Map,A chart exhibiting the lighthouses of the lake coast of the United States of America,,,,"https://www.loc.gov/resource/g3311p.fi000169a/?r=-0.089,-0.015,1.13,0.609,0",,,,,,Not on site: not ours,,loc,,,
1850,Reynolds's political map of the United States,"Reynolds, Williams & J.C. Jones",,Map,The comparative area of the free and slave states and the territory open to slavery or freedom by the repeal of the Missouri Compromise.,,,,"https://www.loc.gov/resource/g3701e.ct000604/?r=0.251,0.083,0.751,0.404,0",,,,,,,,loc,,,
1918,The Woman Voter's Manual,"Forman, S. E., Shuler, Marjorie, Catt, Carrie Chapman",,Chart,Important Legislation in the United States Affecting Women and Children,,,,https://www.loc.gov/resource/rbnawsa.n7111/?sp=3,,,https://drive.google.com/drive/folders/1A9S9LfzDfT_-VZpkaUnwtyM3xainUSME,,Recreation Complete,,49,loc,,,
1914,Emery’s Charts and Maps Showing Growth and Distribution of United States Manufactures (Image Y),"Emery, Arthur",,Chart,"Profits on all manufactures of carriages, wagons & repairs in U.S. since 1849",,,,https://blogs.loc.gov/inside_adams/2013/04/arthur-t-emery-and-his-big-book-of-charts-graphs/?loclr=blogadm,,,,,,,,loc,,,
1914,Emery’s Charts and Maps Showing Growth and Distribution of United States Manufactures (Image X),"Emery, Arthur",,Map,"Manufactures of carriages, wagons & repairs – Total value of products by states 1914",,,,https://blogs.loc.gov/inside_adams/2013/04/arthur-t-emery-and-his-big-book-of-charts-graphs/?loclr=blogadm,,,,,,,,loc,,,
