Calendar,Utility,Design,Plant,Utility,(notes),Design,Plant,Patent Grants
Year,Patent,Patent,Patent,Patents (e),,Patents,Patents,to Foreign
,Applications (e),Applications,Applications,(inventions),,,,Residents (a)
,(inventions),,,,,,,
2020,"597,175","47,838",976,"352,066",,"34,877","1,398","223,727"
2019,"621,453","46,847","1,134","354,430",,"34,794","1,275","204,656"
2018,"597,141","45,083","1,079","307,759",,"30,497","1,208","177,915"
2017,"606,956","43,340","1,059","318,828",,"30,870","1,311","182,002"
2016,"605,571","42,571","1,177","303,049",,"28,873","1,235","172,818"
2015,"589,410","39,097","1,140","298,408",,"25,986","1,074","169,764"
2014,"578,802","35,378","1,063","300,677",,"23,657","1,072","166,999"
2013,"571,612","36,034","1,406","277,835",,"23,468",847,"154,891"
2012,"542,815","32,799","1,149","253,155",,"21,951",860,"142,180"
2011,"503,582","30,467","1,139","224,505",,"21,356",823,"125,998"
2010,"490,226","29,059",992,"219,614",,"22,799",981,"122,694"
2009,"456,106","25,806",959,"167,349",,"23,116","1,009","96,677"
2008,"456,321","27,782","1,209","157,772",,"25,565","1,240","92,929"
2007,"456,154","27,752","1,049","157,282",,"24,062","1,047","89,007"
2006,"425,967","25,515","1,151","173,772",,"20,965","1,149","93,942"
2005,"390,733","25,553","1,222","143,806",,"12,951",716,"75,046"
2004,"356,943","23,975","1,221","164,290",,"15,695","1,016","87,051"
2003,"342,441","22,602","1,000","169,023",,"16,574",994,"88,258"
2002,"334,445","20,904","1,144","167,331",,"15,451","1,133","87,101"
2001,"326,508","18,280",944,"166,035",,"16,871",584,"85,173"
2000,"295,926","18,292",797,"157,494",,"17,413",548,"78,871"
1999,"270,187","17,761",863,"153,485",,"14,732",420,"74,877"
1998,"243,062","17,107",720,"147,517",,"14,766",561,"72,398"
1997,"215,257","16,546",621,"111,984",,"11,414",394,"54,107"
1996,"195,187","15,161",665,"109,645",,"11,410",362,"52,267"
1995,"212,377","15,409",452,"101,419",,"11,712",387,"49,327"
1994,"189,857","15,774",459,"101,676",,"11,095",499,"49,224"
1993,"174,743","13,635",361,"98,342",,"10,630",442,"48,531"
1992,"173,075","13,078",354,"97,444",,"9,269",321,"48,572"
1991,"164,306","13,061",463,"96,511",,"9,569",353,"48,944"
1990,"164,558","11,288",418,"90,365",,"8,024",318,"46,094"
1989,"152,750","12,615",383,"95,537",,"6,092",587,"47,804"
1988,"139,825","11,289",377,"77,924",,"5,679",425,"39,625"
1987,"127,917","11,153",385,"82,952",,"5,959",229,"41,588"
1986,"122,433","9,912",320,"70,860",,"5,518",224,"34,780"
1985,"117,006","9,551",231,"71,661",,"5,066",242,"33,796"
1984,"111,284","8,739",253,"67,200",,"4,938",212,"30,388"
1983,"103,703","8,082",255,"56,860",,"4,563",197,"25,334"
1982,"109,625","8,174",188,"57,888",,"4,944",173,"25,534"
